"","FTSEWorld_Log","India_Log","EgyptN_Log","China_Log","Brazil_Log"
"n",240,240,240,240,240
"mean",0.00466562799404743,0.00871676544724841,0.00486784348969176,0.00532845555785343,0.00410083581874616
"sd",0.0523960408634798,0.0823647917027954,0.0905046414197171,0.0802479530213625,0.106467757014915
"range",0.533756135556703,0.713758754699664,0.655726686031486,0.658445890426942,0.990152311196961
"skew",-2.49036506254111,-1.13868551097157,-0.359818472381144,-0.0968749545706481,-1.53322270743756
"kurtosis",14.3760585921692,5.69964341850692,1.83075069765296,2.19163343880662,8.57399133800957
"se",0.00338214989452434,0.00531662444297949,0.00584204948288397,0.00517998309364954,0.00687246416378043
